LIBELLE;COMMUNE;DEPARTEMEN;X_WGS84;Y_WGS84
Renescure;RENESCURE;NORD;2.372330558433976;50.73196874003682
Bening;BENING-LES-SAINT-AVOLD;MOSELLE;6.828569962775861;49.13823357590087
Ste-Pazanne;SAINTE-PAZANNE;LOIRE-ATLANTIQUE;-1.817875172027586;47.10243686807898
Bayon;VIRECOURT;MEURTHE-ET-MOSELLE;6.322868633344423;48.468006065186245
Nice-St-Roch;NICE;ALPES-MARITIMES;7.286559121678756;43.715173751991884
Soulac-sur-Mer;SOULAC-SUR-MER;GIRONDE;-1.117391489531038;45.507969972595404
Montceau-les-Mines;MONTCEAU-LES-MINES;SAONE-ET-LOIRE;4.361105316071837;46.67051156636181
Rouen-Rive-Droite;ROUEN;SEINE-MARITIME;1.094233526260265;49.4491878684027
Beynes;BEYNES;YVELINES;1.875845691637385;48.85939063028636
Nouzonville;NOUZONVILLE;ARDENNES;4.742258644137013;49.81253486383028
Crotelles;VILLEDOMER;INDRE-ET-LOIRE;0.864224703197544;47.529276095899725
Auneau;ROINVILLE;EURE-ET-LOIR;1.780181460127021;48.44606164180047
Sete;SETE;HERAULT;3.696608504888423;43.41279860027326
Mignaloux-Nouaille;MIGNALOUX-BEAUVOIR;VIENNE;0.411805714638493;46.52605001060868
Hautmont;HAUTMONT;NORD;3.915571616258313;50.25397433616288
Lafarge;SAINT-HILAIRE-LES-PLACES;HAUTE-VIENNE;1.130877718332544;45.634028229586356
Villeneuve-Loubet-Plage;VILLENEUVE-LOUBET;ALPES-MARITIMES;7.134325945371284;43.62959895644294
Leyment;LEYMENT;AIN;5.285127971080204;45.93647117289702
Culoz;CULOZ;AIN;5.77867320042856;45.842855056298575
Buzy-en-Bearn;BUZY;PYRENEES-ATLANTIQUES;-0.45583930872819;43.14821823375952
Sermizelles-Vezelay;GIVRY;YONNE;3.792894581811644;47.52886695431305
Maule;MAULE;YVELINES;1.857318343026776;48.909242714227815
Beaumont-de-Lomagne;BEAUMONT-DE-LOMAGNE;TARN-ET-GARONNE;0.986239322330964;43.8782451944375
Les Perrieres;VARENNES-VAUZELLES;NIEVRE;3.148438859602416;47.00616929165193
Aytre-Plage;AYTRE;CHARENTE-MARITIME;-1.128490510325061;46.12763823824456
Herrlisheim;HERRLISHEIM;BAS-RHIN;7.91032804035035;48.72764651099049
Evron;EVRON;MAYENNE;-0.396952715882117;48.155693198678215
La Menitre;LA MENITRE;MAINE-ET-LOIRE;-0.275982998842375;47.39730385204992
Le Luc-et-Le Cannet;LE CANNET-DES-MAURES;VAR;6.343171762065989;43.39025127371896
Joue-les-Tours;JOUE-LES-TOURS;INDRE-ET-LOIRE;0.668048618706485;47.35423134182372
Avenue-du-President-Kennedy-Radio-France;PARIS;PARIS;2.280643922537805;48.85303782778344
Salses;SALSES-LE-CHATEAU;PYRENEES-ORIENTALES;2.917412907106511;42.83556456554592
Frepillon;FREPILLON;VAL-D'OISE;2.197110568848926;49.04606750590012
Sains-du-Nord;SAINS-DU-NORD;NORD;4.001577664406883;50.08866973398011
Lutzelbourg;LUTZELBOURG;MOSELLE;7.251833009492623;48.729846888344916
Carnoules;CARNOULES;VAR;6.186694957665186;43.29747018644669
Pagny-sur-Moselle;PAGNY-SUR-MOSELLE;MEURTHE-ET-MOSELLE;6.025818645207068;48.98569467337148
Brimeux;BRIMEUX;PAS-DE-CALAIS;1.831495852912389;50.447051735242525
Cassis;CASSIS;BOUCHES-DU-RHONE;5.553191943191577;43.234103170066064
Dieppe;DIEPPE;SEINE-MARITIME;1.081412809091867;49.91676041680653
Nerac;NERAC;LOT-ET-GARONNE;0.335218100435338;44.13141091795235
Plouaret-Tregor;PLOUARET;COTES-D'ARMOR;-3.470755997826093;48.60650640608806
Polliat;POLLIAT;AIN;5.124030240101035;46.24452734318952
St-Brice-Courcelles;SAINT-BRICE-COURCELLES;MARNE;3.988807460605649;49.26502984850878
Thenon;THENON;DORDOGNE;1.068998929951222;45.160018266999685
Vittel;VITTEL;VOSGES;5.942242226000524;48.202635169665676
Limoges-Montjovis;LIMOGES;HAUTE-VIENNE;1.251596775957024;45.83843758054152
Montmedy;MONTMEDY;MEUSE;5.371700640274836;49.523093923192405
St-Pierre-le-Viger-Fontaine-le-Dun;SAINT-PIERRE-LE-VIGER;SEINE-MARITIME;0.844717727716975;49.82396371063189
Luttenbach-pres-Munster;LUTTENBACH-PRES-MUNSTER;HAUT-RHIN;7.118844201837517;48.03530647173009
Pompey;POMPEY;MEURTHE-ET-MOSELLE;6.1308377713641;48.7732068848714
Pezou;PEZOU;LOIR-ET-CHER;1.141013622640016;47.86735974833991
Septemes;SEPTEMES-LES-VALLONS;BOUCHES-DU-RHONE;5.369992482206597;43.403064809469726
Pessac;PESSAC;GIRONDE;-0.631981201223286;44.80432882276649
Petit-Croix;MONTREUX-CHATEAU;TERRITOIRE-DE-BELFORT;6.994918229950353;47.610072500121284
Troyes;SAINT-JULIEN-LES-VILLAS;AUBE;4.093255492388044;48.267956881185235
Avesnes;AVESNES-SUR-HELPE;NORD;3.933691932159471;50.126510256624066
Dormans;DORMANS;MARNE;3.641732540154304;49.079124214613664
Thiviers;THIVIERS;DORDOGNE;0.916121738812947;45.408720143186905
La Brohiniere;MONTAUBAN-DE-BRETAGNE;ILLE-ET-VILAINE;-2.110477930274493;48.21346883098549
Dijon-Ville;DIJON;COTE-D'OR;5.027142558968659;47.32301605786211
St-Vincent-de-Tyrosse;SAINT-VINCENT-DE-TYROSSE;LANDES;-1.306419925731927;43.65764559327288
Goxwiller;GOXWILLER;BAS-RHIN;7.478786397235771;48.43277220196985
Anizy-Pinon;PINON;AISNE;3.448684506906266;49.49586645638771
Colleville-Ste-Helene;COLLEVILLE;SEINE-MARITIME;0.453481461663384;49.74788129001654
Audun-le-Roman;AUDUN-LE-ROMAN;MEURTHE-ET-MOSELLE;5.89146426804764;49.366590157042125
Caudies;CAUDIES-DE-FENOUILLEDES;PYRENEES-ORIENTALES;2.373080346213851;42.810639950853094
Objat;OBJAT;CORREZE;1.406828483895449;45.26471287539302
St-Aubin-du-Vieil-Evreux;LE VIEIL-EVREUX;EURE;1.210704418278621;48.99858874568956
Sollies-Pont;SOLLIES-PONT;VAR;6.046659633633765;43.19218999615403
St-Sulpice-Lauriere;SAINT-SULPICE-LAURIERE;HAUTE-VIENNE;1.473745331763645;46.04841813858183
Elbeuf-Ville;ELBEUF;SEINE-MARITIME;1.004280092399471;49.28412845673974
Chaugey;LOSNE;COTE-D'OR;5.255037292221724;47.08764413683483
Ille-sur-Tet;ILLE-SUR-TET;PYRENEES-ORIENTALES;2.62421294273941;42.668211445185555
Cruas;CRUAS;ARDECHE;4.765580021583682;44.655900465849584
Etainhus-St-Romain;ETAINHUS;SEINE-MARITIME;0.33042269040196;49.56059940093719
St-Brieuc;SAINT-BRIEUC;COTES-D'ARMOR;-2.764962751496382;48.50719098335715
Vitry-sur-Seine;VITRY-SUR-SEINE;VAL-DE-MARNE;2.403548612394372;48.798813904369624
Reze-Pont-Rousseau;REZE;LOIRE-ATLANTIQUE;-1.549492482887928;47.19333466964187
Chatenois-Dolaincourt;CHATENOIS;VOSGES;5.83889815712475;48.30161598331203
Buire-sur-l'Ancre;BUIRE-SUR-L'ANCRE;SOMME;2.599456443937742;49.96514173113135
Balsieges-Bourg;BALSIEGES;LOZERE;3.456601695538955;44.48206935118344
Belz-Ploemel;PLOEMEL;MORBIHAN;-3.072226071368788;47.65254859798189
Perpignan;PERPIGNAN;PYRENEES-ORIENTALES;2.879350450581682;42.69621526112407
Thomery;FONTAINEBLEAU;SEINE-ET-MARNE;2.762318803658344;48.394401706465494
Bayard;BAYARD-SUR-MARNE;HAUTE-MARNE;5.076848866730774;48.55114230967595
St-Pourcain-sur-Sioule;SAINT-POURCAIN-SUR-SIOULE;ALLIER;3.299085740982358;46.30503520484824
Selestat;SELESTAT;BAS-RHIN;7.442441424608559;48.2606544212921
Namps-Quevauvillers;NAMPS-MAISNIL;SOMME;2.105280731925284;49.808146221661694
Vignols-St-Solve;SAINT-SOLVE;CORREZE;1.397619507972418;45.312991479730286
Varetz;VARETZ;CORREZE;1.447409972667475;45.191110140196194
Jarrie-Vizille;JARRIE;ISERE;5.742573539163729;45.08481083197159
Bourgtheroulde-Thuit-Hebert;GRAND BOURGTHEROULDE;EURE;0.838230934043214;49.317574268561536
Crepy-Couvron;CREPY;AISNE;3.516648700534048;49.6234815197374
Vitrolles-Aeroport-Marseille-Provence;VITROLLES;BOUCHES-DU-RHONE;5.237107512143576;43.441197332164776
Laroche-Migennes;MIGENNES;YONNE;3.511453668444495;47.96101462319648
Malling;MALLING;MOSELLE;6.302209541081355;49.42150514070524
St-Pierre-Quiberon;SAINT-PIERRE-QUIBERON;MORBIHAN;-3.138707146365476;47.52094863815868
Montreuil-sur-Therain;MONTREUIL-SUR-THERAIN;OISE;2.19992191304832;49.38168495792057
Sauto;SAUTO;PYRENEES-ORIENTALES;2.159738420428227;42.50617882069271
Villepinte;VILLEPINTE;SEINE-SAINT-DENIS;2.512440870606306;48.963074764492056
Genelard;GENELARD;SAONE-ET-LOIRE;4.238147018273335;46.58118078240515
Evreux-Embranchement;EVREUX;EURE;1.150419072396177;49.01838527574759
Hagetmau;HAGETMAU;LANDES;-0.583487362867767;43.65924203793236
Bourron-Marlotte-Grez;BOURRON-MARLOTTE;SEINE-ET-MARNE;2.692614190301942;48.332714786210815
Les Noues;GOUSSAINVILLE;VAL-D'OISE;2.47855126231612;49.03342753849726
Conde-sur-Huisne;SABLONS SUR HUISNE;ORNE;0.848904495741087;48.3835959133747
La Fere;LA FERE;AISNE;3.369884473447331;49.657829034213655
Les Fontinettes;CALAIS;PAS-DE-CALAIS;1.848656797960105;50.94168252974406
Moirans;MOIRANS;ISERE;5.581815189282188;45.32193637824267
Santenay-les-Bains;SANTENAY;COTE-D'OR;4.701780086185652;46.91073433226832
Val-de-Reuil;VAL-DE-REUIL;EURE;1.224844887249741;49.2755264557537
Reims-Maison-Blanche;REIMS;MARNE;4.022706051740367;49.233416254860984
Frontenex;FRONTENEX;SAVOIE;6.314324090541986;45.63048107461825
